family,display_name,node_id,source_url,source_sha256,page_version_badge,inputs,outputs,dynamic_inputs,defaults,animation,arrays_groups,errors,resources,edge_behavior,build_availability,status,prerequisite,fixture
3d,Surface Project 3D,Node_Surface_Project_3D,https://docs.pixel-composer.com/nodes/3d/2d_operation/projectors/surface_project_3d.html,a3503cf3b99be41c14b2362698f52ae7b75c56e0e05ed9c378fa83dc1adb86b5,pre 1.18,"[{""type"":""vec2"",""name"":""Dimension""},{""type"":""surface"",""name"":""Top""},{""type"":""surface"",""name"":""Front""},{""type"":""surface"",""name"":""Right""},{""type"":""surface"",""name"":""Bottom""},{""type"":""surface"",""name"":""Back""},{""type"":""surface"",""name"":""Left""},{""type"":""vec3"",""name"":""View Angle""},{""type"":""vec3"",""name"":""Position""},{""type"":""enum"",""name"":""Projection""},{""type"":""slider"",""name"":""Fov""},{""type"":""float"",""name"":""Distance""},{""type"":""float"",""name"":""Scale""},{""type"":""bool"",""name"":""Extrude Both Side""},{""type"":""bool"",""name"":""Use Noise""},{""type"":""seed"",""name"":""Noise Seed""},{""type"":""slider"",""name"":""Threshold""},{""type"":""enum"",""name"":""Voxel Color""},{""type"":""palette"",""name"":""Face Blending""},{""type"":""enum"",""name"":""Except""},{""type"":""range"",""name"":""Depth Range""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Depth Pass""},{""type"":""surface"",""name"":""Normal Pass""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Surface Project Cylinder 3D,Node_Surface_Project_Cylinder_3D,https://docs.pixel-composer.com/nodes/3d/2d_operation/projectors/surface_project_cylinder_3d.html,36d39732020bf453992380da2b8275053456cb00678876413b9e3b0e7d1f1543,pre 1.18,"[{""type"":""vec2"",""name"":""Dimension""},{""type"":""surface"",""name"":""Cylinder""},{""type"":""surface"",""name"":""Top""},{""type"":""surface"",""name"":""Right""},{""type"":""surface"",""name"":""Bottom""},{""type"":""surface"",""name"":""Back""},{""type"":""surface"",""name"":""Left""},{""type"":""vec3"",""name"":""View Angle""},{""type"":""vec3"",""name"":""Position""},{""type"":""enum"",""name"":""Projection""},{""type"":""slider"",""name"":""Fov""},{""type"":""float"",""name"":""Distance""},{""type"":""float"",""name"":""Scale""},{""type"":""bool"",""name"":""From Center""},{""type"":""rotRange"",""name"":""Angle Range""},{""type"":""enum"",""name"":""Voxel Color""},{""type"":""range"",""name"":""Depth Range""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Depth Pass""},{""type"":""surface"",""name"":""Normal Pass""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Surface Project Volume 3D,Node_Surface_Project_Volume_3D,https://docs.pixel-composer.com/nodes/3d/2d_operation/projectors/surface_project_volume_3d.html,5be61b07617cad60dbeee3d809138a9f61536e28932c266aecd129e6bd85ea71,pre 1.18,"[{""type"":""vec2"",""name"":""Dimension""},{""type"":""surface"",""name"":""Top""},{""type"":""surface"",""name"":""Front""},{""type"":""surface"",""name"":""Right""},{""type"":""float"",""name"":""Density""},{""type"":""float"",""name"":""Exponent""},{""type"":""vec3"",""name"":""View Angle""},{""type"":""vec3"",""name"":""Position""},{""type"":""enum"",""name"":""Projection""},{""type"":""slider"",""name"":""Fov""},{""type"":""float"",""name"":""Distance""},{""type"":""float"",""name"":""Scale""},{""type"":""color"",""name"":""Base Color""},{""type"":""gradient"",""name"":""Density Color""},{""type"":""surface"",""name"":""Texture Side""},{""type"":""range"",""name"":""Level""},{""type"":""slider"",""name"":""Color Threshold""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Transform Image 3D,Node_3D_Transform_Image,https://docs.pixel-composer.com/nodes/3d/2d_operation/simple_3d/3d_transform_image.html,05808fef44c75b48e426bc82f62b03ab253ef0f82740a8721aa72b042c51d995,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""surface"",""name"":""Surface""},{""type"":""surface"",""name"":""Back Surface""},{""type"":""vec2"",""name"":""Texture Tiling""},{""type"":""enum"",""name"":""Projection""},{""type"":""float"",""name"":""Fov""},{""type"":""vec2"",""name"":""View Range""},{""type"":""vec2"",""name"":""Depth Range""}]","[{""type"":""d3mesh"",""name"":""Mesh""},{""type"":""surface"",""name"":""Rendered""},{""type"":""surface"",""name"":""Depth""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Draw Shape 3D,Node_Shape_3D,https://docs.pixel-composer.com/nodes/3d/2d_operation/simple_3d/shape_3d.html,a237f3a2f257a6c0b2647f3faca857fe11c9bb8ab0574c81bcabb7cace96dca2,pre 1.18,"[{""type"":""vec2"",""name"":""Dimension""},{""type"":""surface"",""name"":""Background""},{""type"":""vec2"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""vec3"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""enum"",""name"":""Shape""},{""type"":""int"",""name"":""Side""},{""type"":""bool"",""name"":""Caps""},{""type"":""vec2"",""name"":""Radius""},{""type"":""ivec2"",""name"":""Side""},{""type"":""slider"",""name"":""Ratio""},{""type"":""float"",""name"":""Height""},{""type"":""palette"",""name"":""Colors""},{""type"":""float"",""name"":""Side Scale""},{""type"":""bool"",""name"":""Smooth""},{""type"":""bool"",""name"":""Array Texture""},{""type"":""surface"",""name"":""Texture""},{""type"":""vec2"",""name"":""Uv Position""},{""type"":""vec2"",""name"":""Uv Scale""},{""type"":""range"",""name"":""View Range""},{""type"":""surface"",""name"":""Displacement Map""},{""type"":""range"",""name"":""Displacement Range""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Depth""},{""type"":""surface"",""name"":""Rim Normal""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Directional Light,Node_3D_Light_Directional,https://docs.pixel-composer.com/nodes/3d/light/3d_light_directional.html,00c19a214e827cc38045098a04c36bee1915f7ef9cac6546875307fbb622331e,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""color"",""name"":""Color""},{""type"":""slider"",""name"":""Intensity""},{""type"":""bool"",""name"":""Cast Shadow""},{""type"":""int"",""name"":""Shadow Map Size""},{""type"":""int"",""name"":""Shadow Map Scale""},{""type"":""float"",""name"":""Shadow Bias""}]","[{""type"":""d3light"",""name"":""Light""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Point Light,Node_3D_Light_Point,https://docs.pixel-composer.com/nodes/3d/light/3d_light_point.html,819b9024387e9130b2f645ad36e2ff10cdd6a47c2a106dd1ce24e40df9de0480,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""color"",""name"":""Color""},{""type"":""slider"",""name"":""Intensity""},{""type"":""float"",""name"":""Radius""},{""type"":""bool"",""name"":""Cast Shadow""},{""type"":""int"",""name"":""Shadow Map Size""},{""type"":""float"",""name"":""Shadow Bias""}]","[{""type"":""d3light"",""name"":""Light""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,3D Material,Node_3D_Material,https://docs.pixel-composer.com/nodes/3d/material/3d_material.html,06090e2a4e14e9f2acbf5d39d0f89b305c5d9b5715bc8ef37d9f4cc3689e0afa,pre 1.18,"[{""type"":""surface"",""name"":""Texture""},{""type"":""enum"",""name"":""Interpolation""},{""type"":""vec2"",""name"":""Scale""},{""type"":""vec2"",""name"":""Shift""},{""type"":""enum"",""name"":""Shader""},{""type"":""slider"",""name"":""Diffuse""},{""type"":""slider"",""name"":""Specular""},{""type"":""float"",""name"":""Shininess""},{""type"":""bool"",""name"":""Metal""},{""type"":""slider"",""name"":""Reflectance""},{""type"":""slider"",""name"":""Metalic""},{""type"":""slider"",""name"":""Roughness""},{""type"":""surface"",""name"":""Normal Map""},{""type"":""slider"",""name"":""Normal Strength""}]","[{""type"":""d3material"",""name"":""Material""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Surface Extrude 3D,Node_3D_Mesh_Extrude,https://docs.pixel-composer.com/nodes/3d/mesh/creator/3d_mesh_extrude.html,856ee7b32a770bc919ebf1826f47e783d8e6ec3744ec15550842ce2b7f1db980,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""bool"",""name"":""Voxel Scale""},{""type"":""float"",""name"":""Voxel Size""},{""type"":""d3material"",""name"":""Front Surface""},{""type"":""surface"",""name"":""Front Height""},{""type"":""range"",""name"":""Front Height Level""},{""type"":""bool"",""name"":""Double Side""},{""type"":""d3material"",""name"":""Back Surface""},{""type"":""surface"",""name"":""Back Height""},{""type"":""range"",""name"":""Back Height Level""},{""type"":""bool"",""name"":""Smooth""},{""type"":""bool"",""name"":""Always Update""},{""type"":""d3material"",""name"":""Front Texture""},{""type"":""d3material"",""name"":""Back Texture""},{""type"":""d3material"",""name"":""Side Texture""}]","[{""type"":""d3mesh"",""name"":""Mesh""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Mesh Extrude 3D,Node_3D_Mesh_Extrude_Mesh,https://docs.pixel-composer.com/nodes/3d/mesh/creator/3d_mesh_extrude_mesh.html,9ccc438af0dd0ea08cb87c897632c585d9158a0914769ed664b021d4dd5da4fb,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""bool"",""name"":""Always Update""},{""type"":""mesh"",""name"":""Mesh""},{""type"":""float"",""name"":""Thickness""},{""type"":""bool"",""name"":""Smooth""},{""type"":""slider"",""name"":""Taper""},{""type"":""d3material"",""name"":""Face Texture""},{""type"":""d3material"",""name"":""Side Texture""},{""type"":""d3material"",""name"":""Back Texture""}]","[{""type"":""d3mesh"",""name"":""Mesh""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Path Extrude 3D,Node_3D_Mesh_Path_Extrude,https://docs.pixel-composer.com/nodes/3d/mesh/creator/3d_mesh_path_extrude.html,4156cdbd3f027e4425b836daa0e3237efe5f1f984dfa3008cdc4143257947316,1.18.0,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""path"",""name"":""Path""},{""type"":""float"",""name"":""Path Scale""},{""type"":""bool"",""name"":""Loop""},{""type"":""int"",""name"":""Subdivision""},{""type"":""int"",""name"":""Side""},{""type"":""rotation"",""name"":""Profile Angle""},{""type"":""float"",""name"":""Radius""},{""type"":""curve"",""name"":""Radius Over Path""},{""type"":""bool"",""name"":""End Caps""},{""type"":""bool"",""name"":""Inverted""},{""type"":""bool"",""name"":""Smooth""},{""type"":""d3material"",""name"":""Material Side""},{""type"":""d3material"",""name"":""Material Cap""},{""type"":""vec2"",""name"":""Texture Scale""},{""type"":""bool"",""name"":""Use Path Color""}]","[{""type"":""d3mesh"",""name"":""Mesh""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Path Revolve 3D,Node_3D_Mesh_Path_Revolve,https://docs.pixel-composer.com/nodes/3d/mesh/creator/3d_mesh_path_revolve.html,668d2e7420878c7dcaf7f3bf538fe3f52b201ee4d55a329dacee9c09a33b263c,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""path"",""name"":""Path""},{""type"":""float"",""name"":""Path Scale""},{""type"":""enum"",""name"":""Project Normal""},{""type"":""bool"",""name"":""Invert Y""},{""type"":""enum"",""name"":""Revolve Axis""},{""type"":""vec2"",""name"":""Revolve Origin""},{""type"":""toggle"",""name"":""Caps""},{""type"":""int"",""name"":""Path Sample""},{""type"":""int"",""name"":""Revolve Sample""},{""type"":""bool"",""name"":""Smooth""},{""type"":""bool"",""name"":""Invert Normal""},{""type"":""d3material"",""name"":""Material Side""},{""type"":""d3material"",""name"":""Material Cap""}]","[{""type"":""d3mesh"",""name"":""Mesh""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,3D Terrain,Node_3D_Mesh_Terrain,https://docs.pixel-composer.com/nodes/3d/mesh/creator/3d_mesh_terrain.html,51fbae4f995c3bb518ba4ab9b0659da2f09ebe8564533011f5f6e932b73fd5b9,pre 1.18,"[{""type"":""vec3"",""name"":""Position""},{""type"":""vec3"",""name"":""Anchor""},{""type"":""quaternion"",""name"":""Rotation""},{""type"":""vec3"",""name"":""Scale""},{""type"":""int"",""name"":""Subdivision""},{""type"":""enum"",""name"":""Input Type""},{""type"":""surface"",""name"":""Height Map""},{""type"":""float"",""name"":""Height Array""},{""type"":""range"",""name"":""Front Height Level""},{""type"":""bool"",""name"":""Smooth""},{""type"":""d3material"",""name"":""Material""}]","[{""type"":""d3mesh"",""name"":""Mesh""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
